Country or Area,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity
United Kingdom,2005,"Fabrics, woven; plain weave, dyed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, not exceeding 170g/m2",Import,18123360,3838211,Weight in kilograms,3838211
United Kingdom,2005,"Woven fabrics of polyester staple fibres, cont. <85% by wt. of such fibres, ...",Export,41121,4926,Weight in kilograms,4926
United Kingdom,2005,"Woven fabrics of polyester staple fibres, cont. <85% by wt. of such fibres, ...",Import,202081,48083,Weight in kilograms,48083
United Kingdom,2005,"Fabrics, woven; dyed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, not exceeding 170g/m2",Export,33302,13173,Weight in kilograms,13173
United Kingdom,2005,"Fabrics, woven; dyed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, not exceeding 170g/m2",Import,3655016,720890,Weight in kilograms,720890
United Kingdom,2005,"Fabrics, woven; dyed, containing less than 85% by weight of synthetic staple fibres (other than polyesters), mixed mainly or solely with cotton, not exceeding 170g/m2",Export,575644,43094,Weight in kilograms,43094
United Kingdom,2005,"Fabrics, woven; dyed, containing less than 85% by weight of synthetic staple fibres (other than polyesters), mixed mainly or solely with cotton, not exceeding 170g/m2",Import,2772413,313906,Weight in kilograms,313906
United Kingdom,2005,"Fabrics, woven; plain weave, of yarns of different colours, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, not exceeding 170g/m2",Export,585824,30886,Weight in kilograms,30886
United Kingdom,2005,"Fabrics, woven; plain weave, of yarns of different colours, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, not exceeding 170g/m2",Import,1368347,173721,Weight in kilograms,173721
United Kingdom,2005,"Woven fabrics of polyester staple fibres, cont.<85% by wt. of such fibres,  ...",Export,22268,243,Weight in kilograms,243
United Kingdom,2005,"Woven fabrics of polyester staple fibres, cont.<85% by wt. of such fibres,  ...",Import,37547,2075,Weight in kilograms,2075
United Kingdom,2005,"Woven fabrics of polyester staple fibres (excl. of 5513.31 & 5513.32), cont ...",Export,16166,310,Weight in kilograms,310
United Kingdom,2005,"Woven fabrics of polyester staple fibres (excl. of 5513.31 & 5513.32), cont ...",Import,184631,17642,Weight in kilograms,17642
United Kingdom,2005,"Fabrics, woven; of yarns of different colours, containing less than 85% of synthetic staple fibres (other than polyester, plain weave), mixed mainly or solely with cotton, not exceeding 170g/m2",Export,108048,7637,Weight in kilograms,7637
United Kingdom,2005,"Fabrics, woven; of yarns of different colours, containing less than 85% of synthetic staple fibres (other than polyester, plain weave), mixed mainly or solely with cotton, not exceeding 170g/m2",Import,225153,19212,Weight in kilograms,19212
United Kingdom,2005,"Fabrics, woven; plain weave, printed, of polyester staple fibres, containing less than 85% by weight of such fibres, mixed mainly or solely with cotton, not exceeding 170g/m2",Export,2720098,177110,Weight in kilograms,177110
United Kingdom,2005,"Fabrics, woven; plain weave, printed, of polyester staple fibres, containing less than 85% by weight of such fibres, mixed mainly or solely with cotton, not exceeding 170g/m2",Import,3951984,636291,Weight in kilograms,636291
United Kingdom,2005,"Woven fabrics of polyester staple fibres, cont. <85% by wt. of such fibres, ...",Export,506041,31854,Weight in kilograms,31854
United Kingdom,2005,"Woven fabrics of polyester staple fibres, cont. <85% by wt. of such fibres, ...",Import,192547,28539,Weight in kilograms,28539
United Kingdom,2005,"Woven fabrics of polyester staple fibres (excl. of 5513.41 & 5513.42), cont ...",Export,5384,175,Weight in kilograms,175
United Kingdom,2005,"Woven fabrics of polyester staple fibres (excl. of 5513.41 & 5513.42), cont ...",Import,494204,46666,Weight in kilograms,46666
United Kingdom,2005,"Fabrics, woven; printed, containing less than 85% by weight of synthetic staple fibres (other than polyester, plain weave), mixed mainly or solely with cotton, not exceeding 170g/m2",Export,174197,15965,Weight in kilograms,15965
United Kingdom,2005,"Fabrics, woven; printed, containing less than 85% by weight of synthetic staple fibres (other than polyester, plain weave), mixed mainly or solely with cotton, not exceeding 170g/m2",Import,1349238,208923,Weight in kilograms,208923
United Kingdom,2005,"Fabrics, woven; plain weave, unbleached or bleached, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2",Export,1297206,127148,Weight in kilograms,127148
United Kingdom,2005,"Fabrics, woven; plain weave, unbleached or bleached, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2",Import,3334807,901956,Weight in kilograms,901956
United Kingdom,2005,"Fabrics, woven; 3- or 4-thread twill, including cross twill, unbleached or bleached, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, over 170g/m2",Export,2043799,389430,Weight in kilograms,389430
United Kingdom,2005,"Fabrics, woven; 3- or 4-thread twill, including cross twill, unbleached or bleached, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, over 170g/m2",Import,12873953,4846466,Weight in kilograms,4846466
United Kingdom,2005,"Woven fabrics of polyester staple fibres, cont. <85% by wt. of such fibres, ...",Export,235788,80190,Weight in kilograms,80190
United Kingdom,2005,"Woven fabrics of polyester staple fibres, cont. <85% by wt. of such fibres, ...",Import,919906,246742,Weight in kilograms,246742
United Kingdom,2005,"Fabrics, woven; unbleached or bleached, containing less than 85% by weight of synthetic staple fibres n.e.c. in item no. 55.14.1, mixed mainly or solely with cotton, exceeding 170g/m2",Export,361192,37011,Weight in kilograms,37011
United Kingdom,2005,"Fabrics, woven; unbleached or bleached, containing less than 85% by weight of synthetic staple fibres n.e.c. in item no. 55.14.1, mixed mainly or solely with cotton, exceeding 170g/m2",Import,2601835,620085,Weight in kilograms,620085
United Kingdom,2005,"Fabrics, woven; plain weave, dyed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2",Export,4297933,450363,Weight in kilograms,450363
United Kingdom,2005,"Fabrics, woven; plain weave, dyed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2",Import,1742501,386029,Weight in kilograms,386029
United Kingdom,2005,"Fabrics, woven; 3- or 4-thread twill, including cross twill, dyed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2",Export,6709674,709574,Weight in kilograms,709574
United Kingdom,2005,"Fabrics, woven; 3- or 4-thread twill, including cross twill, dyed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2",Import,5341491,971242,Weight in kilograms,971242
United Kingdom,2005,"Fabrics, woven; dyed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2, n.e.c. in heading no. 5514",Export,155914,14807,Weight in kilograms,14807
United Kingdom,2005,"Fabrics, woven; dyed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2, n.e.c. in heading no. 5514",Import,592696,75606,Weight in kilograms,75606
United Kingdom,2005,"Fabrics, woven; dyed, containing less than 85% by weight of synthetic staple fibres (other than polyesters), mixed mainly or solely with cotton, exceeding 170g/m2",Export,6947622,827453,Weight in kilograms,827453
United Kingdom,2005,"Fabrics, woven; dyed, containing less than 85% by weight of synthetic staple fibres (other than polyesters), mixed mainly or solely with cotton, exceeding 170g/m2",Import,4342059,579206,Weight in kilograms,579206
United Kingdom,2005,"Woven fabrics of polyester staple fibres, cont. <85% by wt. of such fibres, ...",Export,45095,3698,Weight in kilograms,3698
United Kingdom,2005,"Woven fabrics of polyester staple fibres, cont. <85% by wt. of such fibres, ...",Import,150278,8602,Weight in kilograms,8602
United Kingdom,2005,"Woven fabrics of polyester staple fibres, cont. <85% by wt. of such fibres, ...",Export,1536490,139265,Weight in kilograms,139265
United Kingdom,2005,"Woven fabrics of polyester staple fibres, cont. <85% by wt. of such fibres, ...",Import,1034364,123747,Weight in kilograms,123747
United Kingdom,2005,"Woven fabrics of polyester staple fibres (excl. of 5514.31 & 5514.32), cont ...",Export,152985,4783,Weight in kilograms,4783
United Kingdom,2005,"Woven fabrics of polyester staple fibres (excl. of 5514.31 & 5514.32), cont ...",Import,479720,47959,Weight in kilograms,47959
United Kingdom,2005,"Woven fabrics of oth. synth. staple fibres (excl. of 5514.31-5514.33), cont ...",Export,1558767,54368,Weight in kilograms,54368
United Kingdom,2005,"Woven fabrics of oth. synth. staple fibres (excl. of 5514.31-5514.33), cont ...",Import,7468732,1351585,Weight in kilograms,1351585
United Kingdom,2005,"Fabrics, woven; plain weave, printed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2",Export,355934,24604,Weight in kilograms,24604
United Kingdom,2005,"Fabrics, woven; plain weave, printed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2",Import,483933,96194,Weight in kilograms,96194
United Kingdom,2005,"Fabrics, woven; 3- or 4-thread twill, including cross twill, printed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2",Export,26883872,3285921,Weight in kilograms,3285921
United Kingdom,2005,"Fabrics, woven; 3- or 4-thread twill, including cross twill, printed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2",Import,3534498,308882,Weight in kilograms,308882
United Kingdom,2005,"Fabrics, woven; printed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, weight exceeding 170g/m2, n.e.c. in heading no. 5514",Export,298477,37605,Weight in kilograms,37605
United Kingdom,2005,"Fabrics, woven; printed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, weight exceeding 170g/m2, n.e.c. in heading no. 5514",Import,201520,16789,Weight in kilograms,16789
United Kingdom,2005,"Fabrics, woven; printed, containing less than 85% by weight of synthetic staple fibres (other than polyesters), mixed mainly or solely with cotton, exceeding 170g/m2",Export,413946,17735,Weight in kilograms,17735
United Kingdom,2005,"Fabrics, woven; printed, containing less than 85% by weight of synthetic staple fibres (other than polyesters), mixed mainly or solely with cotton, exceeding 170g/m2",Import,1626269,316369,Weight in kilograms,316369
United Kingdom,2005,"Fabrics, woven; of polyester staple fibres n.e.c. in chapter 55, mixed mainly or solely with viscose rayon staple fibres",Export,73409842,7887126,Weight in kilograms,7887126
